-- NOTE: Contents adapted from Template 1.11 by Donald Tipton

schema: id,*name

--	Feitiços mágicos do círculo padrão. -- O catalogador usa o número do comando para criar o id de feitiço Daggerfall.
--
1, Atolamento_Porta_Fenrik
2, Flutuabilidade
3, Geladura
4, Levitar
5, Luz
6, Invisibilidade
7, Fogo_do_Mago
8, Choque
9, Sanguessuga de Força
10, Ação_Livre
11, Resista_ao_Frio
12, Resistir_ao_Fogo
13, Resistir_ao_Choque
14, Bola_de_Fogo
15, Curar_Veneno
16, Parafuso_de _Gelo
17, Escudo
18, Aberto
19, Bloqueio_do_Assistente
20, Tempestade_de_Gelo
-- O código 21 é usado internamente para desbloqueio nas proximidades, como o flamejante
-- braseiro em um pedestal.
22, Escudo_Feitiço
23, Silêncio
24, Sangue_Troll
25, Fogo_Tempestade
26, Resistir_Veneno
27, Feitiço_Drenagem
28, Silêncio_Distante
29, Nuvem_Tóxica
30, Espelho_Shalidor
31, Relâmpago
32, Deus_Fogo
33, Incêndio
34, Ajuda_Assistente
35, Olhar_Medusa
36, Força_Raio
37, Devagar
38, Salto
39, Resistencia_Feitiço
40, Vigor
41, Caminhada_Água
42, Respiração_Aquática
44, Camaleão
45, Forma_Sombra
46, Feitiço_Reflexão
47, Feitiço_Absorção
-- O código 48 é usado internamente para desbloqueio remoto, como o guerreiro cantor
-- estátua e a estátua/lâmpada de Mephala.
49, Línguas
50, Paralisia
51, Dormir
52, Vampiric_Touch
53, Mão_do_Sono
54, Magicka_Leech
55, Esfera_de_Negação
56, Mão_de_Decadência
57, Banish_Daedra
58, Palavra_Santa
58, Holy_Touch
59, Null_Magicka
60, Balyn's_Antidote
61, Cura_Doença
62, Alma_Armadilha
64, Curar
66, Spider_Touch
67, Energia_Sanguessuga
71, Nux_Vômica
72, Arsênico
73, Semente da Lua
74, Erva seca
75, Somânio
76, Ácido_Pírrico
77, Magebane
78, Thyrwort
79, Indulce
80, Surto
81, Quaesto_Vil
82, Força_Orc
83, Sabedoria
84, Iron_Will
85, Agilidade
86, Pés_de_Notorgo
87, Fortaleza
88, Carisma
89, Jack_of_Trades
90, Encanto_Mortal
91, Calma_Humanóide
92, Licantropia
94, Recall
97, Balina's_Balm
98, Quiet_Undead
99, Manso
